epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,532.431,1.5069,1.78499,1.51715,0.28825,0.26573,0.20281,0.08487,2.31389,2.83459,2.24186,0.000414049,0.000414049,0.000414049
57,542.878,1.48896,1.7287,1.49335,0.32886,0.23154,0.19765,0.08284,2.35186,2.83389,2.29291,0.00040505,0.00040505,0.00040505
58,552.945,1.53877,1.71072,1.5337,0.34767,0.24462,0.20193,0.07705,2.29014,3.00397,2.27017,0.000396051,0.000396051,0.000396051
59,562.855,1.4824,1.67898,1.48687,0.31506,0.26407,0.20117,0.07296,2.36938,2.82226,2.28838,0.000387052,0.000387052,0.000387052
60,572.643,1.45482,1.68284,1.47622,0.27016,0.2966,0.19471,0.07941,2.31629,2.835,2.22876,0.000378053,0.000378053,0.000378053
61,582.973,1.51169,1.79993,1.52113,0.30185,0.26278,0.19917,0.0757,2.33775,2.83554,2.24376,0.000369054,0.000369054,0.000369054
62,593.474,1.49348,1.67983,1.47642,0.30616,0.26947,0.18641,0.07519,2.31963,2.90793,2.22102,0.000360055,0.000360055,0.000360055
63,604.229,1.44288,1.64424,1.4484,0.32132,0.24534,0.17903,0.07289,2.34008,2.88212,2.21613,0.000351056,0.000351056,0.000351056
64,614.517,1.44316,1.66192,1.45399,0.22774,0.29338,0.18413,0.07493,2.30436,2.76019,2.19174,0.000342057,0.000342057,0.000342057
65,624.544,1.48878,1.63632,1.47673,0.24706,0.27644,0.18531,0.07321,2.36613,2.88093,2.24019,0.000333058,0.000333058,0.000333058
66,635.181,1.42519,1.68339,1.45884,0.26569,0.29213,0.18556,0.07532,2.27573,2.88372,2.16951,0.000324058,0.000324058,0.000324058
67,645.166,1.44263,1.61024,1.44956,0.25209,0.29465,0.20054,0.08166,2.26656,2.8058,2.21181,0.000315059,0.000315059,0.000315059
68,656.889,1.42044,1.53372,1.43909,0.29947,0.27202,0.19966,0.0766,2.29918,2.74885,2.21473,0.00030606,0.00030606,0.00030606
69,667.38,1.50591,1.61209,1.4911,0.27765,0.28337,0.19092,0.07279,2.31485,2.80477,2.22042,0.000297061,0.000297061,0.000297061
70,677.666,1.41204,1.60158,1.44449,0.3234,0.30514,0.213,0.08627,2.24341,2.77491,2.21352,0.000288062,0.000288062,0.000288062
71,689.792,1.43366,1.56275,1.45756,0.35226,0.28001,0.21059,0.08873,2.22536,2.77029,2.22236,0.000279063,0.000279063,0.000279063
72,700.656,1.38229,1.52256,1.42426,0.28386,0.27168,0.19758,0.07724,2.28003,2.84783,2.23546,0.000270064,0.000270064,0.000270064
73,711.473,1.34778,1.46086,1.39581,0.27472,0.28072,0.20234,0.07964,2.28899,2.89248,2.26048,0.000261065,0.000261065,0.000261065
74,721.898,1.38901,1.50668,1.42166,0.36348,0.2304,0.21007,0.08074,2.29882,2.85952,2.25406,0.000252066,0.000252066,0.000252066
